Name,Latitude,Longitude,Date,Prism_precipitation,date,Wunderground_precipitation_data
Munger Ranch - KAZSONOI59,31.77,-110.7,2024-03-07,0.0,,
Empire - KAZVAIL66,31.91,-110.65,2024-03-07,0.0,,
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-03-08,11.1505994796753,,
Florida Station - KAZGREEN15,31.76,-110.85,2024-03-08,4.40129995346069,,
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-03-08,13.3853998184204,,
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-03-08,13.2958993911743,,
Quintas - KAZSAHUA55,31.94,-110.99,2024-03-08,14.306999206543,,
Elephant Head - KAZAMADO2,31.74,-111.01,2024-03-08,12.1316995620728,,
Arivaca Junction - KAZAMADO15,31.73,-111.07,2024-03-08,12.0099000930786,,
SERP - KAZTUCSO2954,32.05,-110.8,2024-03-08,15.4126996994019,,
Munger Ranch - KAZSONOI59,31.77,-110.7,2024-03-08,7.6980996131897,,
Empire - KAZVAIL66,31.91,-110.65,2024-03-08,12.8074998855591,,
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-03-09,0.0339000001549721,,
Florida Station - KAZGREEN15,31.76,-110.85,2024-03-09,0.492399990558624,,
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-03-09,0.256699979305267,,
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-03-09,0.978499948978424,,
Quintas - KAZSAHUA55,31.94,-110.99,2024-03-09,0.212499991059303,,
Elephant Head - KAZAMADO2,31.74,-111.01,2024-03-09,1.38679993152618,,
Arivaca Junction - KAZAMADO15,31.73,-111.07,2024-03-09,0.968999981880188,,
SERP - KAZTUCSO2954,32.05,-110.8,2024-03-09,2.28900003433228,,
Munger Ranch - KAZSONOI59,31.77,-110.7,2024-03-09,1.35089993476868,,
Empire - KAZVAIL66,31.91,-110.65,2024-03-09,0.472599983215332,,
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-03-10,0.0,,
Florida Station - KAZGREEN15,31.76,-110.85,2024-03-10,0.223299995064735,,
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-03-10,0.0,,
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-03-10,0.0,,
Quintas - KAZSAHUA55,31.94,-110.99,2024-03-10,0.0,,
Elephant Head - KAZAMADO2,31.74,-111.01,2024-03-10,0.0,,
Arivaca Junction - KAZAMADO15,31.73,-111.07,2024-03-10,0.0,,
SERP - KAZTUCSO2954,32.05,-110.8,2024-03-10,0.0,,
Munger Ranch - KAZSONOI59,31.77,-110.7,2024-03-10,0.0,,
Empire - KAZVAIL66,31.91,-110.65,2024-03-10,0.338799983263016,,
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-03-11,0.0,,
Florida Station - KAZGREEN15,31.76,-110.85,2024-03-11,0.0,,
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-03-11,0.0,,
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-03-11,0.0,,
Quintas - KAZSAHUA55,31.94,-110.99,2024-03-11,0.0,,
Elephant Head - KAZAMADO2,31.74,-111.01,2024-03-11,0.0,,
Arivaca Junction - KAZAMADO15,31.73,-111.07,2024-03-11,0.0,,
SERP - KAZTUCSO2954,32.05,-110.8,2024-03-11,0.0,,
Munger Ranch - KAZSONOI59,31.77,-110.7,2024-03-11,0.0,,
Empire - KAZVAIL66,31.91,-110.65,2024-03-11,0.0,,
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-03-12,0.0,,
Florida Station - KAZGREEN15,31.76,-110.85,2024-03-12,0.0,,
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-03-12,0.0,,
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-03-12,0.0,,
Quintas - KAZSAHUA55,31.94,-110.99,2024-03-12,0.0,,
Elephant Head - KAZAMADO2,31.74,-111.01,2024-03-12,0.0,,
Arivaca Junction - KAZAMADO15,31.73,-111.07,2024-03-12,0.0,,
SERP - KAZTUCSO2954,32.05,-110.8,2024-03-12,0.0,,
Munger Ranch - KAZSONOI59,31.77,-110.7,2024-03-12,0.0,,
Empire - KAZVAIL66,31.91,-110.65,2024-03-12,0.0,,
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-03-13,0.0,,
Florida Station - KAZGREEN15,31.76,-110.85,2024-03-13,0.0,,
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-03-13,0.0,,
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-03-13,0.0,,
Quintas - KAZSAHUA55,31.94,-110.99,2024-03-13,0.0,,
Elephant Head - KAZAMADO2,31.74,-111.01,2024-03-13,0.0,,
Arivaca Junction - KAZAMADO15,31.73,-111.07,2024-03-13,0.0,,
SERP - KAZTUCSO2954,32.05,-110.8,2024-03-13,0.0,,
Munger Ranch - KAZSONOI59,31.77,-110.7,2024-03-13,0.0,,
Empire - KAZVAIL66,31.91,-110.65,2024-03-13,0.0,,
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-03-14,0.0,,
Florida Station - KAZGREEN15,31.76,-110.85,2024-03-14,0.0,,
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-03-14,0.0,,
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-03-14,0.0,,
Quintas - KAZSAHUA55,31.94,-110.99,2024-03-14,0.0,,
Elephant Head - KAZAMADO2,31.74,-111.01,2024-03-14,0.0,,
Arivaca Junction - KAZAMADO15,31.73,-111.07,2024-03-14,0.0,,
SERP - KAZTUCSO2954,32.05,-110.8,2024-03-14,0.0,,
Munger Ranch - KAZSONOI59,31.77,-110.7,2024-03-14,0.0,,
Empire - KAZVAIL66,31.91,-110.65,2024-03-14,0.0,,
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-03-15,0.0,,
Florida Station - KAZGREEN15,31.76,-110.85,2024-03-15,0.0,,
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-03-15,0.0,,
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-03-15,0.0484999977052212,,
Quintas - KAZSAHUA55,31.94,-110.99,2024-03-15,0.0,,
Elephant Head - KAZAMADO2,31.74,-111.01,2024-03-15,0.0,,
Arivaca Junction - KAZAMADO15,31.73,-111.07,2024-03-15,0.0,,
SERP - KAZTUCSO2954,32.05,-110.8,2024-03-15,0.0,,
Munger Ranch - KAZSONOI59,31.77,-110.7,2024-03-15,0.0,,
Empire - KAZVAIL66,31.91,-110.65,2024-03-15,0.0,,
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-03-16,0.663299977779388,,
Florida Station - KAZGREEN15,31.76,-110.85,2024-03-16,0.757299959659576,,
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-03-16,2.81799983978271,,
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-03-16,2.42579984664917,,
Quintas - KAZSAHUA55,31.94,-110.99,2024-03-16,3.14039993286133,,
Elephant Head - KAZAMADO2,31.74,-111.01,2024-03-16,2.6153998374939,,
Arivaca Junction - KAZAMADO15,31.73,-111.07,2024-03-16,2.3831000328064,,
SERP - KAZTUCSO2954,32.05,-110.8,2024-03-16,0.662400007247925,,
Munger Ranch - KAZSONOI59,31.77,-110.7,2024-03-16,0.918299973011017,,
Empire - KAZVAIL66,31.91,-110.65,2024-03-16,0.534500002861023,,
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-03-17,0.0,,
Florida Station - KAZGREEN15,31.76,-110.85,2024-03-17,0.0,,
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-03-17,0.0,,
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-03-17,0.0,,
Quintas - KAZSAHUA55,31.94,-110.99,2024-03-17,0.0,,
Elephant Head - KAZAMADO2,31.74,-111.01,2024-03-17,0.0,,
Arivaca Junction - KAZAMADO15,31.73,-111.07,2024-03-17,0.0,,
SERP - KAZTUCSO2954,32.05,-110.8,2024-03-17,0.0,,
Munger Ranch - KAZSONOI59,31.77,-110.7,2024-03-17,0.0,,
Empire - KAZVAIL66,31.91,-110.65,2024-03-17,0.0,,
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-03-18,0.0,,
Florida Station - KAZGREEN15,31.76,-110.85,2024-03-18,0.0,,
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-03-18,0.0,,
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-03-18,0.0,,
Quintas - KAZSAHUA55,31.94,-110.99,2024-03-18,0.0,,
Elephant Head - KAZAMADO2,31.74,-111.01,2024-03-18,0.0,,
Arivaca Junction - KAZAMADO15,31.73,-111.07,2024-03-18,0.0,,
SERP - KAZTUCSO2954,32.05,-110.8,2024-03-18,0.0,,
Munger Ranch - KAZSONOI59,31.77,-110.7,2024-03-18,0.0,,
Empire - KAZVAIL66,31.91,-110.65,2024-03-18,0.0,,
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-03-19,0.0,,
Florida Station - KAZGREEN15,31.76,-110.85,2024-03-19,0.0,,
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-03-19,0.0,,
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-03-19,0.0,,
Quintas - KAZSAHUA55,31.94,-110.99,2024-03-19,0.0,,
Elephant Head - KAZAMADO2,31.74,-111.01,2024-03-19,0.0,,
Arivaca Junction - KAZAMADO15,31.73,-111.07,2024-03-19,0.0,,
SERP - KAZTUCSO2954,32.05,-110.8,2024-03-19,0.0,,
Munger Ranch - KAZSONOI59,31.77,-110.7,2024-03-19,0.0,,
Empire - KAZVAIL66,31.91,-110.65,2024-03-19,0.0,,
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-03-20,0.0,,
Florida Station - KAZGREEN15,31.76,-110.85,2024-03-20,0.0,,
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-03-20,0.0,,
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-03-20,0.0,,
Quintas - KAZSAHUA55,31.94,-110.99,2024-03-20,0.0,,
Elephant Head - KAZAMADO2,31.74,-111.01,2024-03-20,0.0,,
Arivaca Junction - KAZAMADO15,31.73,-111.07,2024-03-20,0.0,,
SERP - KAZTUCSO2954,32.05,-110.8,2024-03-20,0.0,,
Munger Ranch - KAZSONOI59,31.77,-110.7,2024-03-20,0.0,,
Empire - KAZVAIL66,31.91,-110.65,2024-03-20,0.0,,
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-03-21,0.0,,
Florida Station - KAZGREEN15,31.76,-110.85,2024-03-21,0.0,,
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-03-21,0.0,,
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-03-21,0.0,,
Quintas - KAZSAHUA55,31.94,-110.99,2024-03-21,0.0,,
Elephant Head - KAZAMADO2,31.74,-111.01,2024-03-21,0.0,,
Arivaca Junction - KAZAMADO15,31.73,-111.07,2024-03-21,0.0,,
SERP - KAZTUCSO2954,32.05,-110.8,2024-03-21,0.0,,
Munger Ranch - KAZSONOI59,31.77,-110.7,2024-03-21,0.0,,
Empire - KAZVAIL66,31.91,-110.65,2024-03-21,0.0,,
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-03-22,0.0,,
Florida Station - KAZGREEN15,31.76,-110.85,2024-03-22,0.0,,
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-03-22,0.0,,
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-03-22,0.0,,
Quintas - KAZSAHUA55,31.94,-110.99,2024-03-22,0.0,,
Elephant Head - KAZAMADO2,31.74,-111.01,2024-03-22,0.0,,
Arivaca Junction - KAZAMADO15,31.73,-111.07,2024-03-22,0.0,,
SERP - KAZTUCSO2954,32.05,-110.8,2024-03-22,0.0,,
Munger Ranch - KAZSONOI59,31.77,-110.7,2024-03-22,0.0,,
Empire - KAZVAIL66,31.91,-110.65,2024-03-22,0.0,,
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-03-23,0.0,,
Florida Station - KAZGREEN15,31.76,-110.85,2024-03-23,0.0,,
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-03-23,0.0,,
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-03-23,0.0115999998524785,,
Quintas - KAZSAHUA55,31.94,-110.99,2024-03-23,0.0,,
Elephant Head - KAZAMADO2,31.74,-111.01,2024-03-23,0.0,,
Arivaca Junction - KAZAMADO15,31.73,-111.07,2024-03-23,0.0,,
SERP - KAZTUCSO2954,32.05,-110.8,2024-03-23,0.0,,
Munger Ranch - KAZSONOI59,31.77,-110.7,2024-03-23,0.0,,
Empire - KAZVAIL66,31.91,-110.65,2024-03-23,0.0,,
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-03-24,7.56599998474121,,
Florida Station - KAZGREEN15,31.76,-110.85,2024-03-24,6.81789970397949,,
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-03-24,3.52819991111755,,
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-03-24,4.11229991912842,,
Quintas - KAZSAHUA55,31.94,-110.99,2024-03-24,3.82179999351501,,
Elephant Head - KAZAMADO2,31.74,-111.01,2024-03-24,2.62979984283447,,
Arivaca Junction - KAZAMADO15,31.73,-111.07,2024-03-24,2.60909986495972,,
SERP - KAZTUCSO2954,32.05,-110.8,2024-03-24,4.17229986190796,,
Munger Ranch - KAZSONOI59,31.77,-110.7,2024-03-24,4.99009990692139,,
Empire - KAZVAIL66,31.91,-110.65,2024-03-24,7.54670000076294,,
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-03-25,2.40089988708496,,
Florida Station - KAZGREEN15,31.76,-110.85,2024-03-25,1.65859997272491,,
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-03-25,2.69120001792908,,
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-03-25,2.63240003585815,,
Quintas - KAZSAHUA55,31.94,-110.99,2024-03-25,2.75889992713928,,
Elephant Head - KAZAMADO2,31.74,-111.01,2024-03-25,3.73619985580444,,
Arivaca Junction - KAZAMADO15,31.73,-111.07,2024-03-25,3.29309988021851,,
SERP - KAZTUCSO2954,32.05,-110.8,2024-03-25,1.20869994163513,,
Munger Ranch - KAZSONOI59,31.77,-110.7,2024-03-25,2.53959989547729,,
Empire - KAZVAIL66,31.91,-110.65,2024-03-25,1.97939991950989,,
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-03-26,0.741299986839294,,
Florida Station - KAZGREEN15,31.76,-110.85,2024-03-26,0.70660001039505,,
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-03-26,0.599999964237213,,
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-03-26,0.471199989318848,,
Quintas - KAZSAHUA55,31.94,-110.99,2024-03-26,0.592599987983704,,
Elephant Head - KAZAMADO2,31.74,-111.01,2024-03-26,0.541000008583069,,
Arivaca Junction - KAZAMADO15,31.73,-111.07,2024-03-26,0.385199993848801,,
SERP - KAZTUCSO2954,32.05,-110.8,2024-03-26,0.686100006103516,,
Munger Ranch - KAZSONOI59,31.77,-110.7,2024-03-26,0.860099971294403,,
Empire - KAZVAIL66,31.91,-110.65,2024-03-26,0.645799994468689,,
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-03-27,7.05259990692139,,
Florida Station - KAZGREEN15,31.76,-110.85,2024-03-27,7.24119997024536,,
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-03-27,0.0,,
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-03-27,0.316300004720688,,
Quintas - KAZSAHUA55,31.94,-110.99,2024-03-27,0.0,,
Elephant Head - KAZAMADO2,31.74,-111.01,2024-03-27,0.0,,
Arivaca Junction - KAZAMADO15,31.73,-111.07,2024-03-27,0.0,,
SERP - KAZTUCSO2954,32.05,-110.8,2024-03-27,2.26300001144409,,
Munger Ranch - KAZSONOI59,31.77,-110.7,2024-03-27,3.91799998283386,,
Empire - KAZVAIL66,31.91,-110.65,2024-03-27,5.83929967880249,,
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-03-28,0.0,,
Florida Station - KAZGREEN15,31.76,-110.85,2024-03-28,0.0,,
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-03-28,0.0,,
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-03-28,0.0,,
Quintas - KAZSAHUA55,31.94,-110.99,2024-03-28,0.0,,
Elephant Head - KAZAMADO2,31.74,-111.01,2024-03-28,0.0,,
Arivaca Junction - KAZAMADO15,31.73,-111.07,2024-03-28,0.0,,
SERP - KAZTUCSO2954,32.05,-110.8,2024-03-28,0.0,,
Munger Ranch - KAZSONOI59,31.77,-110.7,2024-03-28,0.0,,
Empire - KAZVAIL66,31.91,-110.65,2024-03-28,0.0,,
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-03-29,0.0,,
Florida Station - KAZGREEN15,31.76,-110.85,2024-03-29,0.0,,
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-03-29,0.0,,
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-03-29,0.0,,
Quintas - KAZSAHUA55,31.94,-110.99,2024-03-29,0.0,,
Elephant Head - KAZAMADO2,31.74,-111.01,2024-03-29,0.0,,
Arivaca Junction - KAZAMADO15,31.73,-111.07,2024-03-29,0.0,,
SERP - KAZTUCSO2954,32.05,-110.8,2024-03-29,0.0,,
Munger Ranch - KAZSONOI59,31.77,-110.7,2024-03-29,0.0,,
Empire - KAZVAIL66,31.91,-110.65,2024-03-29,0.0,,
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-03-30,0.0,,
Florida Station - KAZGREEN15,31.76,-110.85,2024-03-30,0.0,,
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-03-30,0.0,,
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-03-30,0.0,,
Quintas - KAZSAHUA55,31.94,-110.99,2024-03-30,0.0,,
Elephant Head - KAZAMADO2,31.74,-111.01,2024-03-30,0.0,,
Arivaca Junction - KAZAMADO15,31.73,-111.07,2024-03-30,0.0,,
SERP - KAZTUCSO2954,32.05,-110.8,2024-03-30,0.0,,
Munger Ranch - KAZSONOI59,31.77,-110.7,2024-03-30,0.0,,
Empire - KAZVAIL66,31.91,-110.65,2024-03-30,0.0,,
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-03-31,0.0,,
Florida Station - KAZGREEN15,31.76,-110.85,2024-03-31,0.0,,
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-03-31,0.0425000004470348,,
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-03-31,0.0,,
Quintas - KAZSAHUA55,31.94,-110.99,2024-03-31,0.0009999999310821,,
Elephant Head - KAZAMADO2,31.74,-111.01,2024-03-31,0.0,,
Arivaca Junction - KAZAMADO15,31.73,-111.07,2024-03-31,0.002199999988079,,
SERP - KAZTUCSO2954,32.05,-110.8,2024-03-31,0.0,,
Munger Ranch - KAZSONOI59,31.77,-110.7,2024-03-31,0.0,,
Empire - KAZVAIL66,31.91,-110.65,2024-03-31,0.0,,
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-04-01,8.6879997253418,,
Florida Station - KAZGREEN15,31.76,-110.85,2024-04-01,9.91309928894043,,
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-04-01,7.24230003356934,,
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-04-01,5.32779979705811,,
Quintas - KAZSAHUA55,31.94,-110.99,2024-04-01,5.23789978027344,,
Elephant Head - KAZAMADO2,31.74,-111.01,2024-04-01,5.0806999206543,,
Arivaca Junction - KAZAMADO15,31.73,-111.07,2024-04-01,8.4197998046875,,
SERP - KAZTUCSO2954,32.05,-110.8,2024-04-01,10.4042997360229,,
Munger Ranch - KAZSONOI59,31.77,-110.7,2024-04-01,10.6296997070312,,
Empire - KAZVAIL66,31.91,-110.65,2024-04-01,10.6597995758057,,
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-04-02,7.16969966888428,,
Florida Station - KAZGREEN15,31.76,-110.85,2024-04-02,8.47189998626709,,
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-04-02,1.32379996776581,,
Magellan Scope Trail - KAZGREEN269,31.88,-111.01,2024-04-02,3.02589988708496,,
Quintas - KAZSAHUA55,31.94,-110.99,2024-04-02,1.86019992828369,,
Elephant Head - KAZAMADO2,31.74,-111.01,2024-04-02,3.65299987792969,,
Arivaca Junction - KAZAMADO15,31.73,-111.07,2024-04-02,5.15829992294312,,
SERP - KAZTUCSO2954,32.05,-110.8,2024-04-02,9.18819999694824,,
Munger Ranch - KAZSONOI59,31.77,-110.7,2024-04-02,6.34429979324341,,
Empire - KAZVAIL66,31.91,-110.65,2024-04-02,6.65700006484985,,
Hilton Ranch - KAZVAIL289,31.88,-110.66,2024-04-03,0.0039999997243285,,
Florida Station - KAZGREEN15,31.76,-110.85,2024-04-03,0.0,,
Rancho Sahuarita - Via De Gala - KAZSAHUA40,31.99,-110.98,2024-04-03,0.0,,
