Name,Latitude,Longitude,Date,ppt_prism,Predicted_Rainfall
45,31.81804,-110.861,2024-05-13,0.0,0.0619
Ruelas,31.82946,-110.807,2024-05-14,0.0,0.0619
45,31.81804,-110.861,2024-05-14,0.0,0.0619
Ruelas,31.82946,-110.807,2024-05-15,0.0,0.0619
45,31.81804,-110.861,2024-05-15,0.0,0.0619
Ruelas,31.82946,-110.807,2024-05-16,0.0497576247678733,0.08866960212511583
45,31.81804,-110.861,2024-05-16,0.055856551467858,0.09195082468970761
Ruelas,31.82946,-110.807,2024-05-17,0.0,0.0619
45,31.81804,-110.861,2024-05-17,0.0,0.0619
Ruelas,31.82946,-110.807,2024-05-18,0.0,0.0619
45,31.81804,-110.861,2024-05-18,0.0,0.0619
Ruelas,31.82946,-110.807,2024-05-19,0.0,0.0619
45,31.81804,-110.861,2024-05-19,0.0,0.0619
Ruelas,31.82946,-110.807,2024-05-20,0.0,0.0619
45,31.81804,-110.861,2024-05-20,0.0,0.0619
Ruelas,31.82946,-110.807,2024-05-21,0.0,0.0619
45,31.81804,-110.861,2024-05-21,0.0,0.0619
Ruelas,31.82946,-110.807,2024-05-22,0.0,0.0619
45,31.81804,-110.861,2024-05-22,0.0,0.0619
Ruelas,31.82946,-110.807,2024-05-23,0.0,0.0619
45,31.81804,-110.861,2024-05-23,0.0,0.0619
Ruelas,31.82946,-110.807,2024-05-24,0.0,0.0619
45,31.81804,-110.861,2024-05-24,0.0,0.0619
Ruelas,31.82946,-110.807,2024-05-25,0.0,0.0619
45,31.81804,-110.861,2024-05-25,0.0,0.0619
Ruelas,31.82946,-110.807,2024-05-26,0.0,0.0619
45,31.81804,-110.861,2024-05-26,0.0,0.0619
Ruelas,31.82946,-110.807,2024-05-27,0.0,0.0619
45,31.81804,-110.861,2024-05-27,0.0,0.0619
Ruelas,31.82946,-110.807,2024-05-28,0.0,0.0619
45,31.81804,-110.861,2024-05-28,0.0,0.0619
Ruelas,31.82946,-110.807,2024-05-29,0.0,0.0619
45,31.81804,-110.861,2024-05-29,0.0,0.0619
Ruelas,31.82946,-110.807,2024-05-30,0.0,0.0619
45,31.81804,-110.861,2024-05-30,0.0,0.0619
Ruelas,31.82946,-110.807,2024-05-31,0.0,0.0619
45,31.81804,-110.861,2024-05-31,0.0,0.0619
Ruelas,31.82946,-110.807,2024-06-01,0.0,0.0619
45,31.81804,-110.861,2024-06-01,0.0,0.0619
Ruelas,31.82946,-110.807,2024-06-02,0.0,0.0619
45,31.81804,-110.861,2024-06-02,0.0,0.0619
Ruelas,31.82946,-110.807,2024-06-03,0.0,0.0619
45,31.81804,-110.861,2024-06-03,0.0,0.0619
Ruelas,31.82946,-110.807,2024-06-04,0.0,0.0619
45,31.81804,-110.861,2024-06-04,0.0,0.0619
Ruelas,31.82946,-110.807,2024-06-05,0.0,0.0619
45,31.81804,-110.861,2024-06-05,0.0,0.0619
Ruelas,31.82946,-110.807,2024-06-06,0.0,0.0619
45,31.81804,-110.861,2024-06-06,0.0,0.0619
Ruelas,31.82946,-110.807,2024-06-07,0.0,0.0619
45,31.81804,-110.861,2024-06-07,0.0,0.0619
Ruelas,31.82946,-110.807,2024-06-08,0.0,0.0619
45,31.81804,-110.861,2024-06-08,0.0,0.0619
Ruelas,31.82946,-110.807,2024-06-09,0.0,0.0619
45,31.81804,-110.861,2024-06-09,0.0,0.0619
Ruelas,31.82946,-110.807,2024-06-10,0.0,0.0619
45,31.81804,-110.861,2024-06-10,0.0,0.0619
Ruelas,31.82946,-110.807,2024-06-11,0.0,0.0619
45,31.81804,-110.861,2024-06-11,0.0,0.0619
Ruelas,31.82946,-110.807,2024-06-12,0.0,0.0619
45,31.81804,-110.861,2024-06-12,0.0,0.0619
Ruelas,31.82946,-110.807,2024-06-13,0.0,0.0619
45,31.81804,-110.861,2024-06-13,0.0,0.0619
Ruelas,31.82946,-110.807,2024-06-14,0.0,0.0619
45,31.81804,-110.861,2024-06-14,0.0,0.0619
Ruelas,31.82946,-110.807,2024-06-15,0.0,0.0619
45,31.81804,-110.861,2024-06-15,0.0,0.0619
Ruelas,31.82946,-110.807,2024-06-16,0.0,0.0619
45,31.81804,-110.861,2024-06-16,0.0,0.0619
Ruelas,31.82946,-110.807,2024-06-17,0.0,0.0619
45,31.81804,-110.861,2024-06-17,0.0,0.0619
Ruelas,31.82946,-110.807,2024-06-18,0.0,0.0619
45,31.81804,-110.861,2024-06-18,0.0,0.0619
Ruelas,31.82946,-110.807,2024-06-19,0.0,0.0619
45,31.81804,-110.861,2024-06-19,0.0,0.0619
Ruelas,31.82946,-110.807,2024-06-20,0.0,0.0619
45,31.81804,-110.861,2024-06-20,0.0,0.0619
Ruelas,31.82946,-110.807,2024-06-21,0.0,0.0619
45,31.81804,-110.861,2024-06-21,0.0,0.0619
Ruelas,31.82946,-110.807,2024-06-22,0.371560657489841,0.26179963372953446
45,31.81804,-110.861,2024-06-22,0.31176949939483,0.22963199067441853
Ruelas,31.82946,-110.807,2024-06-23,0.0868982185482265,0.10865124157894586
45,31.81804,-110.861,2024-06-23,0.0847493524379538,0.10749515161161914
Ruelas,31.82946,-110.807,2024-06-24,0.0462626891458389,0.08678932676046133
45,31.81804,-110.861,2024-06-24,0.0395164393619926,0.08315984437675202
Ruelas,31.82946,-110.807,2024-06-25,0.0044390703819555,0.06428821986549206
45,31.81804,-110.861,2024-06-25,0.0093396153674928,0.06692471306771113
Ruelas,31.82946,-110.807,2024-06-26,0.0,0.0619
45,31.81804,-110.861,2024-06-26,0.0,0.0619
Ruelas,31.82946,-110.807,2024-06-27,0.0,0.0619
45,31.81804,-110.861,2024-06-27,0.0,0.0619
Ruelas,31.82946,-110.807,2024-06-28,0.114289017141149,0.12338749122193816
45,31.81804,-110.861,2024-06-28,0.0603145034360559,0.09434920284859807
Ruelas,31.82946,-110.807,2024-06-29,0.256327066128044,0.19980396157688768
45,31.81804,-110.861,2024-06-29,0.24938999566556,0.1960718176680713
Ruelas,31.82946,-110.807,2024-06-30,0.0744771730113062,0.10196871908008273
45,31.81804,-110.861,2024-06-30,0.0580479143773234,0.09312977793499999
Ruelas,31.82946,-110.807,2024-07-01,0.210275740957164,0.17502834863495426
45,31.81804,-110.861,2024-07-01,0.149902481925498,0.1425475352759179
Ruelas,31.82946,-110.807,2024-07-02,0.0270697278280819,0.07646351357150806
45,31.81804,-110.861,2024-07-02,0.0185362988532774,0.07187252878306324
Ruelas,31.82946,-110.807,2024-07-03,0.165194454230045,0.15077461637576423
45,31.81804,-110.861,2024-07-03,0.139577536617635,0.13699271470028762
Ruelas,31.82946,-110.807,2024-07-04,0.0,0.0619
45,31.81804,-110.861,2024-07-04,0.0,0.0619
Ruelas,31.82946,-110.807,2024-07-05,0.0,0.0619
45,31.81804,-110.861,2024-07-05,0.0,0.0619
Ruelas,31.82946,-110.807,2024-07-06,0.0,0.0619
45,31.81804,-110.861,2024-07-06,0.0,0.0619
Ruelas,31.82946,-110.807,2024-07-07,0.0,0.0619
45,31.81804,-110.861,2024-07-07,0.0,0.0619
Ruelas,31.82946,-110.807,2024-07-08,0.0,0.0619
45,31.81804,-110.861,2024-07-08,0.0,0.0619
Ruelas,31.82946,-110.807,2024-07-09,0.0,0.0619
45,31.81804,-110.861,2024-07-09,0.0,0.0619
Ruelas,31.82946,-110.807,2024-07-10,0.0011209986616396,0.0625030972799621
45,31.81804,-110.861,2024-07-10,0.0007365870716025,0.06229628384452214
Ruelas,31.82946,-110.807,2024-07-11,6.03697076201458e-05,0.061932478902699636
45,31.81804,-110.861,2024-07-11,0.0,0.0619
Ruelas,31.82946,-110.807,2024-07-12,0.13922790252744,0.1368046115597627
45,31.81804,-110.861,2024-07-12,0.125187897802891,0.12925108901795535
Ruelas,31.82946,-110.807,2024-07-13,0.0,0.0619
45,31.81804,-110.861,2024-07-13,0.0,0.0619
Ruelas,31.82946,-110.807,2024-07-14,0.0,0.0619
45,31.81804,-110.861,2024-07-14,0.0,0.0619
Ruelas,31.82946,-110.807,2024-07-15,0.246210672088852,0.19436134158380236
45,31.81804,-110.861,2024-07-15,0.211304152740309,0.17558163417428624
Ruelas,31.82946,-110.807,2024-07-16,0.119768999077854,0.12633572150388545
45,31.81804,-110.861,2024-07-16,0.103632052068691,0.11765404401295576
Ruelas,31.82946,-110.807,2024-07-17,0.0683557253423353,0.0986753802341764
45,31.81804,-110.861,2024-07-17,0.0402406894528821,0.08354949092565057
Ruelas,31.82946,-110.807,2024-07-18,0.0091027181718201,0.06679726237643921
45,31.81804,-110.861,2024-07-18,0.0263247619284764,0.0760627219175203
Ruelas,31.82946,-110.807,2024-07-19,0.280038316549831,0.21256061430380907
45,31.81804,-110.861,2024-07-19,0.271889084689958,0.20817632756319743
Ruelas,31.82946,-110.807,2024-07-20,0.0588252146386622,0.09354796547560026
45,31.81804,-110.861,2024-07-20,0.0403964466601551,0.08363328830316344
Ruelas,31.82946,-110.807,2024-07-21,0.416547135690717,0.28600235900160575
45,31.81804,-110.861,2024-07-21,0.294491780830513,0.220336578086816
Ruelas,31.82946,-110.807,2024-07-22,0.353914585755569,0.2523060471364961
45,31.81804,-110.861,2024-07-22,0.26897811208545,0.20661022430197212
Ruelas,31.82946,-110.807,2024-07-23,0.0384161287924133,0.08256787729031835
45,31.81804,-110.861,2024-07-23,0.0469681792502694,0.08716888043664493
Ruelas,31.82946,-110.807,2024-07-24,0.0,0.0619
45,31.81804,-110.861,2024-07-24,0.0,0.0619
Ruelas,31.82946,-110.807,2024-07-25,0.0236675279631984,0.07463313004420073
45,31.81804,-110.861,2024-07-25,0.0044704241768839,0.06430508820716353
Ruelas,31.82946,-110.807,2024-07-26,0.813832108161402,0.49974167419083426
45,31.81804,-110.861,2024-07-26,0.810087778561291,0.4977272248659746
Ruelas,31.82946,-110.807,2024-07-27,0.439127229284461,0.29815044935504004
45,31.81804,-110.861,2024-07-27,0.544559570371952,0.35487304886011023
Ruelas,31.82946,-110.807,2024-07-28,0.0060868363719003,0.06517471796808236
45,31.81804,-110.861,2024-07-28,0.020381551928157,0.07286527493734846
Ruelas,31.82946,-110.807,2024-07-29,0.110906113117855,0.121567488857406
45,31.81804,-110.861,2024-07-29,0.0968543846880816,0.1140076589621879
Ruelas,31.82946,-110.807,2024-07-30,0.0513929347574414,0.08954939889950347
45,31.81804,-110.861,2024-07-30,0.0752070641788235,0.10236140052820705
Ruelas,31.82946,-110.807,2024-07-31,0.0,0.0619
45,31.81804,-110.861,2024-07-31,0.0,0.0619
Ruelas,31.82946,-110.807,2024-08-01,0.140548588760138,0.13751514075295423
45,31.81804,-110.861,2024-08-01,0.139647436832695,0.13703032101598991
Ruelas,31.82946,-110.807,2024-08-02,0.0084235862156984,0.06643188938404573
45,31.81804,-110.861,2024-08-02,0.0150172729646864,0.06997929285500128
Ruelas,31.82946,-110.807,2024-08-03,0.0082060503360615,0.06631485508080108
45,31.81804,-110.861,2024-08-03,0.0160710619546218,0.07054623133158652
Ruelas,31.82946,-110.807,2024-08-04,0.14072603522137,0.13761060694909705
45,31.81804,-110.861,2024-08-04,0.120354203837245,0.1266505616644378
Ruelas,31.82946,-110.807,2024-08-05,0.0817809862020814,0.1058981705767198
45,31.81804,-110.861,2024-08-05,0.0579788552801108,0.0930926241406996
Ruelas,31.82946,-110.807,2024-08-06,0.242750119260667,0.19249956416223885
45,31.81804,-110.861,2024-08-06,0.185223816963975,0.16155041352661853
Ruelas,31.82946,-110.807,2024-08-07,0.162170302178131,0.14914762257183448
45,31.81804,-110.861,2024-08-07,0.185934088814629,0.1619325397822704
Ruelas,31.82946,-110.807,2024-08-08,0.0717916495105993,0.10052390743670242
45,31.81804,-110.861,2024-08-08,0.0584167949836087,0.09332823570118148
Ruelas,31.82946,-110.807,2024-08-09,0.522453662642248,0.34298007050152945
45,31.81804,-110.861,2024-08-09,0.451472938411258,0.3047924408652568
Ruelas,31.82946,-110.807,2024-08-10,0.0,0.0619
45,31.81804,-110.861,2024-08-10,0.0,0.0619
Ruelas,31.82946,-110.807,2024-08-11,0.0820442880637514,0.10603982697829825
45,31.81804,-110.861,2024-08-11,0.0991877254960867,0.11526299631689466
Ruelas,31.82946,-110.807,2024-08-12,0.0010612418805911,0.062470948131758006
45,31.81804,-110.861,2024-08-12,0.0,0.0619
Ruelas,31.82946,-110.807,2024-08-13,0.0497539321634263,0.08866761550392335
45,31.81804,-110.861,2024-08-13,0.0596524165685669,0.09399300011388899
Ruelas,31.82946,-110.807,2024-08-14,0.0001831703395633,0.06199854564268505
45,31.81804,-110.861,2024-08-14,2.42766107654382e-06,0.061901306081659176
Ruelas,31.82946,-110.807,2024-08-15,0.0,0.0619
45,31.81804,-110.861,2024-08-15,0.0,0.0619
Ruelas,31.82946,-110.807,2024-08-16,0.0,0.0619
45,31.81804,-110.861,2024-08-16,0.0,0.0619
Ruelas,31.82946,-110.807,2024-08-17,0.273348908464346,0.20896171275381814
45,31.81804,-110.861,2024-08-17,0.181062796078724,0.15931178429035353
Ruelas,31.82946,-110.807,2024-08-18,0.179927448230276,0.1587009671478885
45,31.81804,-110.861,2024-08-18,0.165316915988497,0.15084050080181138
Ruelas,31.82946,-110.807,2024-08-19,0.0,0.0619
45,31.81804,-110.861,2024-08-19,0.0,0.0619
Ruelas,31.82946,-110.807,2024-08-20,0.151428581987055,0.1433685771090356
45,31.81804,-110.861,2024-08-20,0.0995225175679384,0.11544311445155087
Ruelas,31.82946,-110.807,2024-08-21,0.0547272629471814,0.09134326746558359
45,31.81804,-110.861,2024-08-21,0.0596835477741842,0.0940097487025111
Ruelas,31.82946,-110.807,2024-08-22,0.170657684571435,0.15371383429943203
45,31.81804,-110.861,2024-08-22,0.23301680071441,0.18726303878435258
Ruelas,31.82946,-110.807,2024-08-23,0.170987553045054,0.15389130353823904
45,31.81804,-110.861,2024-08-23,0.233772763400927,0.18766974670969871
Ruelas,31.82946,-110.807,2024-08-24,0.0572989831059981,0.09272685291102697
45,31.81804,-110.861,2024-08-24,0.0596064774857584,0.09396828488733802
Ruelas,31.82946,-110.807,2024-08-25,0.0,0.0619
45,31.81804,-110.861,2024-08-25,0.0,0.0619
Ruelas,31.82946,-110.807,2024-08-26,0.0,0.0619
45,31.81804,-110.861,2024-08-26,0.0,0.0619
Ruelas,31.82946,-110.807,2024-08-27,0.0082026319998494,0.06631301601591898
45,31.81804,-110.861,2024-08-27,0.0147395863641917,0.06982989746393513
Ruelas,31.82946,-110.807,2024-08-28,0.0950790408389221,0.1130525239713401
45,31.81804,-110.861,2024-08-28,0.0842289360252925,0.10721516758160736
Ruelas,31.82946,-110.807,2024-08-29,0.0,0.0619
45,31.81804,-110.861,2024-08-29,0.0,0.0619
Ruelas,31.82946,-110.807,2024-08-30,0.0,0.0619
45,31.81804,-110.861,2024-08-30,0.0,0.0619
Ruelas,31.82946,-110.807,2024-08-31,0.0292757435951597,0.07765035005419592
45,31.81804,-110.861,2024-08-31,0.0009377756759681,0.062404523313670836
Ruelas,31.82946,-110.807,2024-09-01,0.0547274798884766,0.0913433841800004
45,31.81804,-110.861,2024-09-01,0.0237517228889137,0.07467842691423557
Ruelas,31.82946,-110.807,2024-01-01,0.0,0.0619
45,31.81804,-110.861,2024-01-01,0.0,0.0619
Ruelas,31.82946,-110.807,2024-01-02,0.0,0.0619
45,31.81804,-110.861,2024-01-02,0.0,0.0619
Ruelas,31.82946,-110.807,2024-01-03,0.0,0.0619
45,31.81804,-110.861,2024-01-03,0.0,0.0619
Ruelas,31.82946,-110.807,2024-01-04,0.117184990185592,0.1249455247198485
45,31.81804,-110.861,2024-01-04,0.0589197458823887,0.09359882328472512
Ruelas,31.82946,-110.807,2024-01-05,0.0,0.0619
45,31.81804,-110.861,2024-01-05,0.0,0.0619
Ruelas,31.82946,-110.807,2024-01-06,0.0,0.0619
45,31.81804,-110.861,2024-01-06,0.0,0.0619
Ruelas,31.82946,-110.807,2024-01-07,0.0,0.0619
45,31.81804,-110.861,2024-01-07,0.0,0.0619
Ruelas,31.82946,-110.807,2024-01-08,0.135678224529101,0.13489488479665634
45,31.81804,-110.861,2024-01-08,0.127923150281294,0.13072265485133616
Ruelas,31.82946,-110.807,2024-01-09,0.0,0.0619
45,31.81804,-110.861,2024-01-09,0.0,0.0619
Ruelas,31.82946,-110.807,2024-01-10,0.0,0.0619
45,31.81804,-110.861,2024-01-10,0.0,0.0619
Ruelas,31.82946,-110.807,2024-01-11,0.0,0.0619
45,31.81804,-110.861,2024-01-11,0.0,0.0619
Ruelas,31.82946,-110.807,2024-01-12,0.0420071272967042,0.08449983448562685
45,31.81804,-110.861,2024-01-12,0.0376093956939081,0.08213385488332256
Ruelas,31.82946,-110.807,2024-01-13,0.0,0.0619
45,31.81804,-110.861,2024-01-13,0.0,0.0619
Ruelas,31.82946,-110.807,2024-01-14,0.0,0.0619
45,31.81804,-110.861,2024-01-14,0.0,0.0619
Ruelas,31.82946,-110.807,2024-01-15,0.0,0.0619
45,31.81804,-110.861,2024-01-15,0.0,0.0619
Ruelas,31.82946,-110.807,2024-01-16,0.0,0.0619
45,31.81804,-110.861,2024-01-16,0.0,0.0619
Ruelas,31.82946,-110.807,2024-01-17,0.0,0.0619
45,31.81804,-110.861,2024-01-17,0.0,0.0619
Ruelas,31.82946,-110.807,2024-01-18,0.0,0.0619
45,31.81804,-110.861,2024-01-18,0.0,0.0619
Ruelas,31.82946,-110.807,2024-01-19,0.0,0.0619
45,31.81804,-110.861,2024-01-19,0.0,0.0619
Ruelas,31.82946,-110.807,2024-01-20,0.0,0.0619
45,31.81804,-110.861,2024-01-20,0.0,0.0619
Ruelas,31.82946,-110.807,2024-01-21,0.128289751979602,0.13091988656502587
45,31.81804,-110.861,2024-01-21,0.135177820243871,0.13462566729120262
Ruelas,31.82946,-110.807,2024-01-22,0.835646277134112,0.5114776970981523
45,31.81804,-110.861,2024-01-22,0.880415555767781,0.5355635690030661
Ruelas,31.82946,-110.807,2024-01-23,0.558161629075493,0.3621909564426153
45,31.81804,-110.861,2024-01-23,0.621950200271233,0.3965092077459234
Ruelas,31.82946,-110.807,2024-01-24,0.180596606368409,0.15906097422620402
45,31.81804,-110.861,2024-01-24,0.149666449753459,0.14242054996736095
Ruelas,31.82946,-110.807,2024-01-25,0.0001201919097574,0.06196466324744948
45,31.81804,-110.861,2024-01-25,0.0026539424053429,0.06332782101407447
Ruelas,31.82946,-110.807,2024-01-26,0.0,0.0619
45,31.81804,-110.861,2024-01-26,0.0,0.0619
Ruelas,31.82946,-110.807,2024-01-27,0.0,0.0619
45,31.81804,-110.861,2024-01-27,0.0,0.0619
Ruelas,31.82946,-110.807,2024-01-28,0.0,0.0619
45,31.81804,-110.861,2024-01-28,0.0,0.0619
Ruelas,31.82946,-110.807,2024-01-29,0.0,0.0619
45,31.81804,-110.861,2024-01-29,0.0,0.0619
Ruelas,31.82946,-110.807,2024-01-30,0.0,0.0619
45,31.81804,-110.861,2024-01-30,0.0,0.0619
Ruelas,31.82946,-110.807,2024-01-31,0.0,0.0619
45,31.81804,-110.861,2024-01-31,0.0,0.0619
Ruelas,31.82946,-110.807,2024-02-01,0.0,0.0619
45,31.81804,-110.861,2024-02-01,0.0,0.0619
Ruelas,31.82946,-110.807,2024-02-02,0.434861433564445,0.29585545125767143
45,31.81804,-110.861,2024-02-02,0.419267302240688,0.28746580860549015
Ruelas,31.82946,-110.807,2024-02-03,0.375274439873086,0.2637976486517203
45,31.81804,-110.861,2024-02-03,0.291869844262512,0.21892597621323145
Ruelas,31.82946,-110.807,2024-02-04,0.0,0.0619
45,31.81804,-110.861,2024-02-04,0.0,0.0619
Ruelas,31.82946,-110.807,2024-02-05,0.0,0.0619
45,31.81804,-110.861,2024-02-05,0.0,0.0619
Ruelas,31.82946,-110.807,2024-02-06,0.0,0.0619
45,31.81804,-110.861,2024-02-06,0.0,0.0619
Ruelas,31.82946,-110.807,2024-02-07,0.126328038551752,0.12986448474084258
45,31.81804,-110.861,2024-02-07,0.170827979948913,0.1538054532125152
Ruelas,31.82946,-110.807,2024-02-08,0.239157133846663,0.19056653800950468
45,31.81804,-110.861,2024-02-08,0.245220369353994,0.19382855871244875
Ruelas,31.82946,-110.807,2024-02-09,0.182831257581475,0.16026321657883355
45,31.81804,-110.861,2024-02-09,0.148210243278904,0.14163711088405034
Ruelas,31.82946,-110.807,2024-02-10,0.055394354845685,0.09170216290697852
45,31.81804,-110.861,2024-02-10,0.0798370690347287,0.10485234314068403
Ruelas,31.82946,-110.807,2024-02-11,0.412439442255664,0.28379241993354726
45,31.81804,-110.861,2024-02-11,0.440862805173882,0.2990841891835485
Ruelas,31.82946,-110.807,2024-02-12,0.0,0.0619
45,31.81804,-110.861,2024-02-12,0.0,0.0619
Ruelas,31.82946,-110.807,2024-02-13,0.0,0.0619
45,31.81804,-110.861,2024-02-13,0.0,0.0619
Ruelas,31.82946,-110.807,2024-02-14,0.0,0.0619
45,31.81804,-110.861,2024-02-14,0.0,0.0619
Ruelas,31.82946,-110.807,2024-02-15,0.0,0.0619
45,31.81804,-110.861,2024-02-15,0.0,0.0619
Ruelas,31.82946,-110.807,2024-02-16,0.0,0.0619
45,31.81804,-110.861,2024-02-16,0.0,0.0619
Ruelas,31.82946,-110.807,2024-02-17,0.0,0.0619
45,31.81804,-110.861,2024-02-17,0.0,0.0619
Ruelas,31.82946,-110.807,2024-02-18,0.0,0.0619
45,31.81804,-110.861,2024-02-18,0.0,0.0619
Ruelas,31.82946,-110.807,2024-02-19,0.0,0.0619
45,31.81804,-110.861,2024-02-19,0.0,0.0619
Ruelas,31.82946,-110.807,2024-02-20,0.0,0.0619
45,31.81804,-110.861,2024-02-20,0.0,0.0619
Ruelas,31.82946,-110.807,2024-02-21,0.0,0.0619
45,31.81804,-110.861,2024-02-21,0.0,0.0619
Ruelas,31.82946,-110.807,2024-02-22,0.0,0.0619
45,31.81804,-110.861,2024-02-22,0.0,0.0619
Ruelas,31.82946,-110.807,2024-02-23,0.0,0.0619
45,31.81804,-110.861,2024-02-23,0.0,0.0619
Ruelas,31.82946,-110.807,2024-02-24,0.0,0.0619
45,31.81804,-110.861,2024-02-24,0.0,0.0619
Ruelas,31.82946,-110.807,2024-02-25,0.0,0.0619
45,31.81804,-110.861,2024-02-25,0.0,0.0619
Ruelas,31.82946,-110.807,2024-02-26,0.0,0.0619
45,31.81804,-110.861,2024-02-26,0.0,0.0619
Ruelas,31.82946,-110.807,2024-02-27,0.0,0.0619
45,31.81804,-110.861,2024-02-27,8.43878487884847e-05,0.061945400662648205
