Name,Latitude,Longitude,Date,ppt_prism,Corrected_PRISM
45,31.81804,-110.861,2024-04-17,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-04-17,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-04-17,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-04-17,0.0,0.0479
Amado,31.80618,-110.946,2024-04-17,0.0,0.0479
NE,31.90731,-110.883,2024-04-17,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-04-18,0.0,0.0479
Ruelas,31.82946,-110.807,2024-04-18,0.0,0.0479
45,31.81804,-110.861,2024-04-18,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-04-18,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-04-18,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-04-18,0.0,0.0479
Amado,31.80618,-110.946,2024-04-18,0.0,0.0479
NE,31.90731,-110.883,2024-04-18,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-04-19,0.0,0.0479
Ruelas,31.82946,-110.807,2024-04-19,0.0,0.0479
45,31.81804,-110.861,2024-04-19,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-04-19,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-04-19,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-04-19,0.0,0.0479
Amado,31.80618,-110.946,2024-04-19,0.0,0.0479
NE,31.90731,-110.883,2024-04-19,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-04-20,0.0,0.0479
Ruelas,31.82946,-110.807,2024-04-20,0.0,0.0479
45,31.81804,-110.861,2024-04-20,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-04-20,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-04-20,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-04-20,0.0,0.0479
Amado,31.80618,-110.946,2024-04-20,0.0,0.0479
NE,31.90731,-110.883,2024-04-20,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-04-21,0.0,0.0479
Ruelas,31.82946,-110.807,2024-04-21,0.0,0.0479
45,31.81804,-110.861,2024-04-21,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-04-21,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-04-21,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-04-21,0.0,0.0479
Amado,31.80618,-110.946,2024-04-21,0.0,0.0479
NE,31.90731,-110.883,2024-04-21,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-04-22,0.0,0.0479
Ruelas,31.82946,-110.807,2024-04-22,0.0,0.0479
45,31.81804,-110.861,2024-04-22,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-04-22,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-04-22,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-04-22,0.0,0.0479
Amado,31.80618,-110.946,2024-04-22,0.0,0.0479
NE,31.90731,-110.883,2024-04-22,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-04-23,0.0,0.0479
Ruelas,31.82946,-110.807,2024-04-23,0.0,0.0479
45,31.81804,-110.861,2024-04-23,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-04-23,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-04-23,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-04-23,0.0,0.0479
Amado,31.80618,-110.946,2024-04-23,0.0,0.0479
NE,31.90731,-110.883,2024-04-23,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-04-24,0.0,0.0479
Ruelas,31.82946,-110.807,2024-04-24,0.0,0.0479
45,31.81804,-110.861,2024-04-24,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-04-24,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-04-24,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-04-24,0.0,0.0479
Amado,31.80618,-110.946,2024-04-24,0.0,0.0479
NE,31.90731,-110.883,2024-04-24,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-04-25,0.0,0.0479
Ruelas,31.82946,-110.807,2024-04-25,0.0,0.0479
45,31.81804,-110.861,2024-04-25,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-04-25,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-04-25,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-04-25,0.0,0.0479
Amado,31.80618,-110.946,2024-04-25,0.0,0.0479
NE,31.90731,-110.883,2024-04-25,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-04-26,0.0,0.0479
Ruelas,31.82946,-110.807,2024-04-26,0.0,0.0479
45,31.81804,-110.861,2024-04-26,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-04-26,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-04-26,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-04-26,0.0,0.0479
Amado,31.80618,-110.946,2024-04-26,0.0,0.0479
NE,31.90731,-110.883,2024-04-26,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-04-27,0.0,0.0479
Ruelas,31.82946,-110.807,2024-04-27,0.0,0.0479
45,31.81804,-110.861,2024-04-27,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-04-27,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-04-27,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-04-27,0.0,0.0479
Amado,31.80618,-110.946,2024-04-27,0.0,0.0479
NE,31.90731,-110.883,2024-04-27,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-04-28,0.0,0.0479
Ruelas,31.82946,-110.807,2024-04-28,0.0,0.0479
45,31.81804,-110.861,2024-04-28,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-04-28,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-04-28,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-04-28,0.0,0.0479
Amado,31.80618,-110.946,2024-04-28,0.0,0.0479
NE,31.90731,-110.883,2024-04-28,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-04-29,0.0,0.0479
Ruelas,31.82946,-110.807,2024-04-29,0.0,0.0479
45,31.81804,-110.861,2024-04-29,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-04-29,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-04-29,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-04-29,0.0,0.0479
Amado,31.80618,-110.946,2024-04-29,0.0,0.0479
NE,31.90731,-110.883,2024-04-29,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-04-30,0.0,0.0479
Ruelas,31.82946,-110.807,2024-04-30,0.0,0.0479
45,31.81804,-110.861,2024-04-30,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-04-30,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-04-30,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-04-30,0.0,0.0479
Amado,31.80618,-110.946,2024-04-30,0.0,0.0479
NE,31.90731,-110.883,2024-04-30,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-05-01,0.0,0.0479
Ruelas,31.82946,-110.807,2024-05-01,0.0,0.0479
45,31.81804,-110.861,2024-05-01,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-05-01,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-05-01,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-05-01,0.0,0.0479
Amado,31.80618,-110.946,2024-05-01,0.0,0.0479
NE,31.90731,-110.883,2024-05-01,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-05-02,0.0,0.0479
Ruelas,31.82946,-110.807,2024-05-02,0.0,0.0479
45,31.81804,-110.861,2024-05-02,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-05-02,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-05-02,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-05-02,0.0,0.0479
Amado,31.80618,-110.946,2024-05-02,0.0,0.0479
NE,31.90731,-110.883,2024-05-02,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-05-03,0.0,0.0479
Ruelas,31.82946,-110.807,2024-05-03,0.0,0.0479
45,31.81804,-110.861,2024-05-03,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-05-03,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-05-03,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-05-03,0.0,0.0479
Amado,31.80618,-110.946,2024-05-03,0.0,0.0479
NE,31.90731,-110.883,2024-05-03,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-05-04,0.0,0.0479
Ruelas,31.82946,-110.807,2024-05-04,0.0,0.0479
45,31.81804,-110.861,2024-05-04,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-05-04,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-05-04,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-05-04,0.0,0.0479
Amado,31.80618,-110.946,2024-05-04,0.0,0.0479
NE,31.90731,-110.883,2024-05-04,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-05-05,0.0,0.0479
Ruelas,31.82946,-110.807,2024-05-05,0.0,0.0479
45,31.81804,-110.861,2024-05-05,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-05-05,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-05-05,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-05-05,0.0,0.0479
Amado,31.80618,-110.946,2024-05-05,0.0,0.0479
NE,31.90731,-110.883,2024-05-05,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-05-06,0.0,0.0479
Ruelas,31.82946,-110.807,2024-05-06,0.0,0.0479
45,31.81804,-110.861,2024-05-06,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-05-06,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-05-06,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-05-06,0.0,0.0479
Amado,31.80618,-110.946,2024-05-06,0.0,0.0479
NE,31.90731,-110.883,2024-05-06,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-05-07,0.0,0.0479
Ruelas,31.82946,-110.807,2024-05-07,0.0,0.0479
45,31.81804,-110.861,2024-05-07,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-05-07,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-05-07,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-05-07,0.0,0.0479
Amado,31.80618,-110.946,2024-05-07,0.0,0.0479
NE,31.90731,-110.883,2024-05-07,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-05-08,0.0,0.0479
Ruelas,31.82946,-110.807,2024-05-08,0.0,0.0479
45,31.81804,-110.861,2024-05-08,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-05-08,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-05-08,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-05-08,0.0,0.0479
Amado,31.80618,-110.946,2024-05-08,0.0,0.0479
NE,31.90731,-110.883,2024-05-08,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-05-09,0.0,0.0479
Ruelas,31.82946,-110.807,2024-05-09,0.0,0.0479
45,31.81804,-110.861,2024-05-09,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-05-09,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-05-09,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-05-09,0.0,0.0479
Amado,31.80618,-110.946,2024-05-09,0.0,0.0479
NE,31.90731,-110.883,2024-05-09,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-05-10,0.0,0.0479
Ruelas,31.82946,-110.807,2024-05-10,0.0,0.0479
45,31.81804,-110.861,2024-05-10,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-05-10,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-05-10,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-05-10,0.0,0.0479
Amado,31.80618,-110.946,2024-05-10,0.0,0.0479
NE,31.90731,-110.883,2024-05-10,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-05-11,0.0,0.0479
Ruelas,31.82946,-110.807,2024-05-11,0.0,0.0479
45,31.81804,-110.861,2024-05-11,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-05-11,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-05-11,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-05-11,0.0,0.0479
Amado,31.80618,-110.946,2024-05-11,0.0,0.0479
NE,31.90731,-110.883,2024-05-11,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-05-12,0.0,0.0479
Ruelas,31.82946,-110.807,2024-05-12,0.0,0.0479
45,31.81804,-110.861,2024-05-12,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-05-12,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-05-12,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-05-12,0.0,0.0479
Amado,31.80618,-110.946,2024-05-12,0.0,0.0479
NE,31.90731,-110.883,2024-05-12,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-05-13,0.0,0.0479
Ruelas,31.82946,-110.807,2024-05-13,0.0,0.0479
45,31.81804,-110.861,2024-05-13,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-05-13,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-05-13,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-05-13,0.0,0.0479
Amado,31.80618,-110.946,2024-05-13,0.0,0.0479
NE,31.90731,-110.883,2024-05-13,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-05-14,0.0,0.0479
Ruelas,31.82946,-110.807,2024-05-14,0.0,0.0479
45,31.81804,-110.861,2024-05-14,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-05-14,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-05-14,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-05-14,0.0,0.0479
Amado,31.80618,-110.946,2024-05-14,0.0,0.0479
NE,31.90731,-110.883,2024-05-14,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-05-15,0.0,0.0479
Ruelas,31.82946,-110.807,2024-05-15,0.0,0.0479
45,31.81804,-110.861,2024-05-15,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-05-15,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-05-15,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-05-15,0.0,0.0479
Amado,31.80618,-110.946,2024-05-15,0.0,0.0479
NE,31.90731,-110.883,2024-05-15,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-05-16,0.0382726177928465,0.06740372602723457
Ruelas,31.82946,-110.807,2024-05-16,0.0497576247678733,0.07325648558170823
45,31.81804,-110.861,2024-05-16,0.055856551467858,0.07636449862802044
Huerfano Butte,31.85663,-110.823,2024-05-16,0.0522781898511805,0.07454096554816159
Muhlenbergia,31.84393,-110.878,2024-05-16,0.0560946419146676,0.07648582951971461
Rodent Station,31.8109,-110.884,2024-05-16,0.0558571164578452,0.07636478654691792
Amado,31.80618,-110.946,2024-05-16,0.0510308621682287,0.07390532736092935
NE,31.90731,-110.883,2024-05-16,0.0571086805079348,0.07700258358684357
Florida Canyon Station,31.7612,-110.846,2024-05-17,0.0,0.0479
Ruelas,31.82946,-110.807,2024-05-17,0.0,0.0479
45,31.81804,-110.861,2024-05-17,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-05-17,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-05-17,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-05-17,0.0,0.0479
Amado,31.80618,-110.946,2024-05-17,0.0,0.0479
NE,31.90731,-110.883,2024-05-17,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-05-18,0.0,0.0479
Ruelas,31.82946,-110.807,2024-05-18,0.0,0.0479
45,31.81804,-110.861,2024-05-18,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-05-18,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-05-18,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-05-18,0.0,0.0479
Amado,31.80618,-110.946,2024-05-18,0.0,0.0479
NE,31.90731,-110.883,2024-05-18,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-05-19,0.0,0.0479
Ruelas,31.82946,-110.807,2024-05-19,0.0,0.0479
45,31.81804,-110.861,2024-05-19,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-05-19,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-05-19,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-05-19,0.0,0.0479
Amado,31.80618,-110.946,2024-05-19,0.0,0.0479
NE,31.90731,-110.883,2024-05-19,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-05-20,0.0,0.0479
Ruelas,31.82946,-110.807,2024-05-20,0.0,0.0479
45,31.81804,-110.861,2024-05-20,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-05-20,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-05-20,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-05-20,0.0,0.0479
Amado,31.80618,-110.946,2024-05-20,0.0,0.0479
NE,31.90731,-110.883,2024-05-20,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-05-21,0.0,0.0479
Ruelas,31.82946,-110.807,2024-05-21,0.0,0.0479
45,31.81804,-110.861,2024-05-21,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-05-21,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-05-21,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-05-21,0.0,0.0479
Amado,31.80618,-110.946,2024-05-21,0.0,0.0479
NE,31.90731,-110.883,2024-05-21,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-05-22,0.0,0.0479
Ruelas,31.82946,-110.807,2024-05-22,0.0,0.0479
45,31.81804,-110.861,2024-05-22,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-05-22,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-05-22,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-05-22,0.0,0.0479
Amado,31.80618,-110.946,2024-05-22,0.0,0.0479
NE,31.90731,-110.883,2024-05-22,0.0,0.0479
Florida Canyon Station,31.7612,-110.846,2024-05-23,0.0,0.0479
Ruelas,31.82946,-110.807,2024-05-23,0.0,0.0479
45,31.81804,-110.861,2024-05-23,0.0,0.0479
Huerfano Butte,31.85663,-110.823,2024-05-23,0.0,0.0479
Muhlenbergia,31.84393,-110.878,2024-05-23,0.0,0.0479
Rodent Station,31.8109,-110.884,2024-05-23,0.0,0.0479
Amado,31.80618,-110.946,2024-05-23,0.0,0.0479
